Unidad,Sitio,Año,S,N,J,H,L
287,Rodadero,2000,26,143,0.6795506,2.214041456,0.78666404
288,Rodadero,2000,20,264,0.662856232,1.985739807,0.802627031
289,Rodadero,2000,16,330,0.706484935,1.958792162,0.759823156
290,Rodadero,2000,13,112,0.761611592,1.953495164,0.819176319
291,Rodadero,2000,19,177,0.740846257,2.181376597,0.828582435
292,Rodadero,2000,22,147,0.773637935,2.3913477,0.85928618
293,Rodadero,2000,13,75,0.819655214,2.102374115,0.837117117
294,Rodadero,2000,16,114,0.682530206,1.892375551,0.759975159
295,Rodadero,2000,16,52,0.86527593,2.399054284,0.899698341
296,San Bernardo,2000,10,120,0.485182263,1.117173446,0.512885154
297,San Bernardo,2000,21,143,0.596308926,1.815475905,0.671821137
298,San Bernardo,2000,17,266,0.519245323,1.471132777,0.641339197
299,San Bernardo,2000,11,75,0.875169857,2.098565664,0.863063063
300,San Bernardo,2000,10,332,0.739038785,1.701699688,0.768827576
301,San Bernardo,2000,14,250,0.729995285,1.926499409,0.805751004
302,San Bernardo,2000,10,146,0.600654193,1.383057391,0.666698158
303,San Bernardo,2000,14,270,0.848912932,2.240329897,0.86498692
304,San Bernardo,2000,11,136,0.593752313,1.423755864,0.62254902
305,San Bernardo,2000,15,151,0.636057379,1.722475313,0.723090508
306,Los Hornos,2000,15,167,0.544795329,1.4753331,0.620229421
307,Los Hornos,2000,21,222,0.648250396,1.973612875,0.805144511
308,Los Hornos,2000,16,189,0.683284505,1.894466912,0.788472363
309,Los Hornos,2000,13,180,0.490362927,1.257756075,0.578833023
310,Los Hornos,2000,15,233,0.605187118,1.638877096,0.744968181
311,Los Hornos,2000,16,253,0.615255174,1.705849558,0.711023276
312,Los Hornos,2000,23,195,0.724618129,2.272035952,0.84382765
313,Los Hornos,2000,17,161,0.715481795,2.027112568,0.814518634
314,Los Hornos,2000,14,112,0.700023177,1.847401296,0.78490991
315,Los Hornos,2000,24,273,0.751768078,2.389159419,0.85660418
316,San Diego,2000,13,381,0.686395208,1.760568947,0.753667634
317,San Diego,2000,17,95,0.731511407,2.072527881,0.78924972
318,San Diego,2000,15,44,0.8311805,2.250878521,0.858350951
319,San Diego,2000,11,160,0.908082143,2.177485878,0.873820755
320,San Diego,2000,19,375,0.594903869,1.75165814,0.748620321
321,San Diego,2000,15,172,0.72764301,1.970493799,0.819189446
322,San Diego,2000,20,82,0.865276069,2.592135446,0.913580247
323,San Diego,2000,19,269,0.508348745,1.49680186,0.574072019
324,San Diego,2000,19,194,0.710084393,2.090800167,0.827413066
325,San Diego,2000,19,306,0.536903481,1.580879538,0.600085717
326,San Evaristo,2000,20,121,0.828155575,2.480932383,0.888429752
327,San Evaristo,2000,15,119,0.628061313,1.700821565,0.680957129
328,San Evaristo,2000,10,124,0.49360303,1.136562979,0.46551272
329,San Evaristo,2000,16,239,0.654865877,1.815673744,0.743539257
330,San Evaristo,2000,15,90,0.736496205,1.994468696,0.801248439
331,San Evaristo,2000,17,104,0.774416494,2.194087144,0.855302465
332,San Evaristo,2000,15,127,0.674824895,1.827459693,0.69703787
333,San Evaristo,2000,15,140,0.803010367,2.174592387,0.851593011
