Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
459	2017	Septiembre	36	11.459	50.792	23.36434487	1.031
460	2017	Septiembre	44.5	14.165	85.757	39.44824763	1.576
461	2017	Septiembre	41	13.051	70.042	32.21951796	1.338
462	2017	Septiembre	72	22.918	281.605	129.5384593	4.125
463	2017	Septiembre	52	16.552	126.013	57.96614125	2.152
464	2017	Septiembre	45	14.324	88.158	40.55255763	1.611
465	2017	Septiembre	38	12.096	58.052	26.70394322	1.149
466	2017	Septiembre	49.5	15.756	111.569	51.32152765	1.95
467	2017	Septiembre	35.5	11.3	49.067	22.57066677	1.003
468	2017	Septiembre	18.7	5.952	10.067	4.630743634	0.278
469	2017	Septiembre	76	24.191	321.857	148.0541261	4.596
470	2017	Septiembre	67.1	21.359	236.594	108.8332193	3.583
471	2017	Septiembre	96.1	30.59	574.754	264.3867094	7.349
472	2017	Septiembre	56.3	17.921	153.348	70.54014894	2.522
473	2017	Septiembre	22	7.003	15.042	6.919210975	0.385
474	2017	Septiembre	22	7.003	15.042	6.919210975	0.385
475	2017	Septiembre	64.3	20.467	212.942	97.95338367	3.29
476	2017	Septiembre	72.5	23.077	286.462	131.7726691	4.183
477	2017	Septiembre	78	24.828	343.193	157.8686488	4.841
478	2017	Septiembre	41.5	13.21	72.172	33.19915084	1.371
479	2017	Septiembre	70	22.282	262.669	120.827944	3.899
480	2017	Septiembre	51.5	16.393	123.04	56.5986134	2.111
481	2017	Septiembre	26.7	8.499	24.271	11.16450456	0.567
482	2017	Septiembre	46.2	14.706	94.081	43.27732912	1.699
483	2017	Septiembre	19.5	6.207	11.165	5.135771032	0.303
484	2017	Septiembre	39.5	12.573	63.88	29.38471967	1.242
485	2017	Septiembre	20	6.366	11.885	5.467329495	0.318
486	2017	Septiembre	12	3.82	3.364	1.5473444	0.115
487	2017	Septiembre	10.5	3.342	2.418	1.112471482	0.088
488	2017	Septiembre	13	4.138	4.099	1.885750155	0.134
489	2017	Septiembre	9	2.865	1.652	0.760087113	0.064
490	2017	Septiembre	24	7.639	18.65	8.578909905	0.458
491	2017	Septiembre	19	6.048	10.471	4.816485715	0.287
492	2017	Septiembre	22.5	7.162	15.901	7.314306092	0.403
493	2017	Septiembre	10	3.183	2.144	0.986120821	0.08
494	2017	Septiembre	12	3.82	3.364	1.5473444	0.115
495	2017	Septiembre	33	10.504	40.966	18.84421602	0.867
496	2017	Septiembre	8.5	2.706	1.435	0.659970151	0.057
497	2017	Septiembre	38	12.096	58.052	26.70394322	1.149
498	2017	Septiembre	28	8.913	27.296	12.55618264	0.624
499	2017	Septiembre	46	14.642	93.078	42.81586582	1.684
500	2017	Septiembre	33.5	10.663	42.517	19.55761294	0.893
501	2017	Septiembre	12	3.82	3.364	1.5473444	0.115
502	2017	Septiembre	20	6.366	11.885	5.467329495	0.318
503	2017	Septiembre	24.5	7.799	19.625	9.027334249	0.478
504	2017	Septiembre	46.5	14.801	95.598	43.97505337	1.721
505	2017	Septiembre	38.5	12.255	59.958	27.58059247	1.18
506	2017	Septiembre	25	7.958	20.629	9.489424833	0.497
507	2017	Septiembre	11.5	3.661	3.028	1.392882533	0.105
508	2017	Septiembre	35	11.141	47.377	21.79326332	0.975
509	2017	Septiembre	44.5	14.165	85.757	39.44824763	1.576
510	2017	Septiembre	19.5	6.207	11.165	5.135771032	0.303
511	2017	Septiembre	41	13.051	70.042	32.21951796	1.338
512	2017	Septiembre	72	22.918	281.605	129.5384593	4.125
513	2017	Septiembre	65	20.69	218.716	100.6095098	3.362
514	2017	Septiembre	66.5	21.168	231.401	106.4443009	3.519
515	2017	Septiembre	35	11.141	47.377	21.79326332	0.975
516	2017	Septiembre	19	6.048	10.471	4.816485715	0.287
517	2017	Septiembre	27	8.594	24.95	11.4770425	0.58
518	2017	Septiembre	35.2	11.204	48.048	22.10227866	0.986
519	2017	Septiembre	20	6.366	11.885	5.467329495	0.318
520	2017	Septiembre	14	4.456	4.923	2.264709515	0.156
521	2017	Septiembre	35	11.141	47.377	21.79326332	0.975
522	2017	Septiembre	20	6.366	11.885	5.467329495	0.318
523	2017	Septiembre	19.5	6.207	11.165	5.135771032	0.303
524	2017	Septiembre	42	13.369	74.34	34.19630053	1.404
525	2017	Septiembre	42	13.369	74.34	34.19630053	1.404
526	2017	Septiembre	60	19.099	179.467	82.55471232	2.865
527	2017	Septiembre	30.3	9.645	33.175	15.26071436	0.731
528	2017	Septiembre	11	3.501	2.713	1.247991001	0.096
529	2017	Septiembre	21.4	6.812	14.048	6.462232254	0.364
530	2017	Septiembre	16	5.093	6.848	3.150000377	0.204
531	2017	Septiembre	24.7	7.862	20.023	9.210523186	0.485
532	2017	Septiembre	19.7	6.271	11.45	5.26691335	0.309
533	2017	Septiembre	26.5	8.435	23.824	10.95899385	0.559
534	2017	Septiembre	10	3.183	2.144	0.986120821	0.08
535	2017	Septiembre	15	4.775	5.838	2.685663704	0.179
536	2017	Septiembre	22	7.003	15.042	6.919210975	0.385
537	2017	Septiembre	23.5	7.48	17.704	8.144019714	0.439
538	2017	Septiembre	24	7.639	18.65	8.578909905	0.458
539	2017	Septiembre	24	7.639	18.65	8.578909905	0.458
540	2017	Septiembre	16	5.093	6.848	3.150000377	0.204
541	2017	Septiembre	17	5.411	7.954	3.659059009	0.23
542	2017	Septiembre	23	7.321	16.788	7.72253013	0.421
543	2017	Septiembre	15	4.775	5.838	2.685663704	0.179
544	2017	Septiembre	16	5.093	6.848	3.150000377	0.204
545	2017	Septiembre	11	3.501	2.713	1.247991001	0.096
546	2017	Septiembre	14	4.456	4.923	2.264709515	0.156
547	2017	Septiembre	17	5.411	7.954	3.659059009	0.23
548	2017	Septiembre	12	3.82	3.364	1.5473444	0.115
549	2017	Septiembre	55	17.507	144.747	66.58345615	2.407
550	2017	Septiembre	63	20.053	202.462	93.13236388	3.158
551	2017	Septiembre	64.5	20.531	214.583	98.70796161	3.311
552	2017	Septiembre	73	23.237	291.369	134.02966	4.241
553	2017	Septiembre	42	13.369	74.34	34.19630053	1.404
554	2017	Septiembre	113	35.969	857.688	394.5362955	10.161
555	2017	Septiembre	90	28.648	488.771	224.8347157	6.446
556	2017	Septiembre	124	39.47	1078.99	496.3352415	12.236
557	2017	Septiembre	41.5	13.21	72.172	33.19915084	1.371
558	2017	Septiembre	76	24.191	321.857	148.0541261	4.596
559	2017	Septiembre	43	13.687	78.79	36.24354606	1.471
560	2017	Septiembre	76	24.191	321.857	148.0541261	4.596
561	2017	Septiembre	89	28.33	475.461	218.7121123	6.303
562	2017	Septiembre	36	11.459	50.792	23.36434487	1.031
563	2017	Septiembre	60	19.099	179.467	82.55471232	2.865
564	2017	Septiembre	39	12.414	61.9	28.47415027	1.21
565	2017	Septiembre	35.4	11.268	48.726	22.41388757	0.997
566	2017	Octubre	27	8.594	24.95	11.4770425	0.58
567	2017	Octubre	37.2	11.841	55.079	25.33621484	1.101
568	2017	Octubre	23.5	7.48	17.704	8.144019714	0.439
569	2017	Octubre	28.4	9.04	28.27	13.00408342	0.642
570	2017	Octubre	29.2	9.295	30.278	13.92807686	0.679
571	2017	Octubre	24	7.639	18.65	8.578909905	0.458
572	2017	Octubre	38	12.096	58.052	26.70394322	1.149
573	2017	Octubre	39.5	12.573	63.88	29.38471967	1.242
574	2017	Octubre	26.4	8.403	23.602	10.85708985	0.555
575	2017	Octubre	29.6	9.422	31.314	14.40429299	0.697
576	2017	Octubre	29.3	9.326	30.535	14.04623786	0.683
577	2017	Octubre	25.5	8.117	21.664	9.965312323	0.517
578	2017	Octubre	29	9.231	29.769	13.69353517	0.669
579	2017	Octubre	31	9.868	35.102	16.14674081	0.765
580	2017	Octubre	37	11.777	54.35	25.00095445	1.089
581	2017	Octubre	53	16.87	132.086	60.7597254	2.235
582	2017	Octubre	38.2	12.159	58.81	27.05258052	1.161
583	2017	Octubre	45	14.324	88.158	40.55255763	1.611
584	2017	Octubre	28.5	9.072	28.516	13.11752129	0.646
585	2017	Octubre	40.7	12.955	68.783	31.64010484	1.318
586	2017	Octubre	26	8.276	22.729	10.45512601	0.538
587	2017	Octubre	54	17.189	138.33	63.63193194	2.32
588	2017	Octubre	56.5	17.984	154.698	71.16096735	2.54
589	2017	Octubre	30	9.549	32.37	14.89007033	0.716
590	2017	Octubre	35	11.141	47.377	21.79326332	0.975
591	2017	Octubre	31.2	9.931	35.664	16.4053738	0.775
592	2017	Octubre	45.8	14.579	92.081	42.35734446	1.669
593	2017	Octubre	32.4	10.313	39.15	18.008886	0.835
594	2017	Octubre	22.5	7.162	15.901	7.314306092	0.403
595	2017	Octubre	36	11.459	50.792	23.36434487	1.031
596	2017	Octubre	37.7	12	56.926	26.18602662	1.131
597	2017	Octubre	76.5	24.351	327.114	150.472638	4.657
598	2017	Octubre	32.5	10.345	39.449	18.14654348	0.841
